学校名称,年份,专业,最低排名,最低分,最高分,平均分
北京工业大学,2015,计算机类,--,601,609,605
北京工业大学,2016,计算机类（中外合作办学）,--,--,--,565
北京大学,2016,电子信息类,--,--,--,678
内蒙古大学,2015,计算机科学与技术,--,577,577,577
内蒙古大学,2015,软件工程,--,577,577,577
内蒙古大学,2016,自动化,1956,632,632,632
内蒙古大学,2017,自动化,56217,495,496,496
内蒙古大学,2017,软件工程,56217,499,511,505
内蒙古大学,2018,自动化,60188,511.00,513.00,512.00
内蒙古大学,2018,软件工程,49360,524.00,542.00,534.00
大连海事大学,2015,计算机科学与技术,--,592,599,596
大连海事大学,2015,软件工程,--,589,606,594
大连海事大学,2017,软件工程,33244,526,529,527
大连海事大学,2017,计算机科学与技术,36545,524,533,528
大连海事大学,2018,计算机科学与技术,30367,551.00,557.00,553.00
大连海事大学,2018,软件工程,30367,551.00,552.00,552.00
哈尔滨工业大学,2015,自动化,--,656,657,656
哈尔滨工业大学,2015,计算机科学与技术,--,636,647,642
哈尔滨工业大学,2016,电子信息类（电子与信息工程学院）,5595,606,617,611
哈尔滨工业大学,2016,电子信息类（航天学院）,5595,605,613,609
哈尔滨工业大学,2016,自动化类,3053,621,644,629
哈尔滨工业大学,2017,电子信息类（电子与信息工程学院）,8400,584,600,591
哈尔滨工业大学,2017,计算机类,6099,594,604,599
哈尔滨工业大学,2017,电子信息类（航天学院）,8400,582,593,587
哈尔滨工业大学,2017,软件工程,8400,584,592,589
哈尔滨工业大学,2017,自动化类,5145,595,610,600
哈尔滨工业大学,2018,电子信息类,6401,610.00,616.00,612.70
哈尔滨工业大学,2018,计算机类,5189,616.00,618.00,617.00
哈尔滨工业大学,2018,软件工程,6863,608.00,611.00,609.50
长安大学,2016,自动化（含卓越工程师）,33655,542,558,547
长安大学,2017,电子信息类（分流专业：电子信息工程、通信工程）,30045,531,533,532
长安大学,2017,自动化（含卓越班）（分流专业：自动化（含卓越班））,36545,524,531,526
长安大学,2018,自动化（含卓越工程师）,32284,548.00,--,549.42
长安大学,2018,电子信息类,30367,551.00,--,552.80
长安大学,2018,计算机类,29773,552.00,--,554.73
西北大学,2015,软件工程,--,598,601,599
西北大学,2016,计算机科学与技术,27117,553,561,557
西北大学,2017,电子信息类,27096,535,540,538
西北大学,2017,计算机科学与技术,27096,535,537,536
西北大学,2018,电子信息类,23058,564.00,--,564.50
西北大学,2018,计算机科学与技术,23578,563.00,--,563.50
西北大学,2018,软件工程,23578,563.00,--,564.00
北京交通大学,2015,自动化类,--,624,627,626
北京交通大学,2015,计算机类,--,622,629,624
北京交通大学,2015,软件工程,--,622,630,625
北京交通大学,2016,软件工程,14413,578,583,581
北京交通大学,2016,计算机类,12480,580,586,582
北京交通大学,2016,电子信息类（通信与控制）,12480,581,588,585
北京交通大学,2016,计算机类（中外合作办学）,--,--,--,536
北京交通大学,2016,电子信息类（中外合作办学）,--,--,--,535
北京交通大学,2016,电子信息类,--,--,--,585
北京交通大学,2017,软件工程,15022,564,568,567
北京交通大学,2017,计算机类,15022,562,570,566
北京交通大学,2017,电子信息类（通信与控制）,15022,562,573,567
北京交通大学,2018,电子信息类（通信与控制）,11276,592.00,601.00,594.00
北京交通大学,2018,计算机类,10656,594.00,601.00,596.00
北京交通大学,2018,软件工程,11629,591.00,594.00,592.00
北京外国语大学,2017,计算机科学与技术,4305,601,601,601
北京外国语大学,2018,计算机科学与技术,8087,603.00,--,--
河北工业大学,2015,自动化,--,596,596,596
河北工业大学,2015,计算机类,--,593,600,596
河北工业大学,2016,自动化,30264,548,550,549
河北工业大学,2017,自动化,33244,528,529,528
河北工业大学,2018,计算机科学与技术（人工智能新工科试点班）,28030,555.00,556.00,555.50
河北工业大学,2018,自动化,28602,554.00,555.00,554.60
武汉大学,2015,软件工程（软件工程类）,--,648,665,652
武汉大学,2016,自动化,--,--,--,620
武汉大学,2016,软件工程,--,--,--,626
武汉大学,2016,计算机类,--,--,--,633
武汉大学,2017,电子信息类,2902,610,622,616
武汉大学,2017,计算机类,1882,623,628,625
武汉大学,2017,软件工程（软件工程类）,2902,613,622,618
武汉大学,2018,电子信息类,2415,635.00,639.00,637.11
武汉大学,2018,计算机类,2022,639.00,646.00,641.81
北京林业大学,2015,自动化,--,600,603,601
北京林业大学,2015,计算机类,--,600,610,604
北京林业大学,2017,计算机类,27096,539,551,543
北京林业大学,2017,自动化,27096,535,540,537
湖南大学,2015,软件工程,--,625,628,626
湖南大学,2017,软件工程,11345,570,576,572
湖南大学,2018,计算机科学与技术,11276,592.00,599.00,594.39
中央民族大学,2015,计算机科学与技术,--,609,610,609
中央民族大学,2016,计算机科学与技术,--,--,--,571
中央民族大学,2017,计算机类,17113,557,567,562
中央民族大学,2018,计算机类,22535,565.00,--,--
北京航空航天大学,2015,电子信息类,--,664,666,665
北京航空航天大学,2015,自动化类,--,664,668,666
北京航空航天大学,2015,计算机科学与技术,--,667,672,669
北京航空航天大学,2015,软件工程,--,665,667,666
北京航空航天大学,2016,软件工程,--,--,--,642
北京航空航天大学,2016,自动化类,--,--,--,644
北京航空航天大学,2016,电子信息类,--,--,--,641
北京邮电大学,2015,电子信息类,--,609,620,614
北京邮电大学,2015,自动化,--,626,632,628
北京邮电大学,2015,计算机类,--,608,618,611
北京邮电大学,2015,计算机科学与技术,--,638,650,643
北京邮电大学,2015,软件工程,--,630,637,633
北京邮电大学,2016,计算机科学与技术,6692,602,643,612
北京邮电大学,2016,自动化,9284,591,591,591
北京邮电大学,2016,软件工程,9284,591,600,595
北京邮电大学,2017,电子信息类（信息通信）,9798,578,609,587
北京邮电大学,2017,计算机类,7210,588,610,598
北京邮电大学,2017,自动化,9798,577,584,581
北京邮电大学,2017,软件工程,7210,585,587,586
北京邮电大学,2017,电子信息类（电子工程）,9798,576,585,580
北京邮电大学,2018,电子信息类（信息通信）,12978,587.00,--,--
北京邮电大学,2018,电子信息类（电子工程）,14492,583.00,--,--
北京邮电大学,2018,计算机类,10936,593.00,--,--
北京邮电大学,2018,自动化,15264,581.00,--,--
北京邮电大学,2018,软件工程,12648,588.00,--,--
西南交通大学,2015,自动化,--,620,620,620
西南交通大学,2015,计算机类,--,616,618,617
西南交通大学,2017,计算机类,17113,557,559,558
西南交通大学,2017,电子信息类（茅以升学院）,17113,558,558,558
西南交通大学,2018,电子信息类,15675,580.00,585.00,581.50
西南交通大学,2018,电子信息类（茅以升学院）,14492,583.00,583.00,583.00
西南交通大学,2018,计算机类,15675,580.00,584.00,582.17
西安电子科技大学,2015,计算机科学与技术,--,617,622,620
西安电子科技大学,2015,软件工程,--,616,624,618
西安电子科技大学,2016,计算机科学与技术,16509,572,583,576
西安电子科技大学,2016,自动化,16509,573,576,575
西安电子科技大学,2016,软件工程,16509,570,580,573
西安电子科技大学,2017,计算机科学与技术,15022,562,583,567
西安电子科技大学,2017,自动化,17113,559,565,561
西安电子科技大学,2017,软件工程,17113,559,565,561
西安电子科技大学,2018,计算机科学与技术,11629,591.00,597.00,592.00
西安电子科技大学,2018,自动化,13362,586.00,589.00,587.00
西安电子科技大学,2018,软件工程,12978,587.00,591.00,589.00
湖南师范大学,2015,计算机科学与技术,--,600,602,601
湖南师范大学,2015,软件工程,--,600,603,602
湖南师范大学,2016,计算机科学与技术,27117,551,552,552
湖南师范大学,2016,软件工程,27117,550,551,550
湖南师范大学,2017,软件工程,27096,535,539,537
湖南师范大学,2017,计算机科学与技术,30045,534,536,535
湖南师范大学,2018,软件工程,25143,560.00,560.00,--
湖南师范大学,2018,计算机科学与技术,24603,561.00,565.00,--
南开大学,2015,电子信息类,--,657,659,658
南开大学,2015,自动化类,--,656,660,657
南开大学,2015,计算机类,--,658,660,659
